# CFL3D results for NASA wall-mounted hump, 817 x 217 grid, no plenum, SST model
# Cp has been shifted by -0.015 to better match experimental reference upstream
#VARIABLES = "x","cp"
#zone, t="CFL3D"
x,cp
 6.896161437E-01, -4.011035562E-01
 6.904847026E-01, -4.011154771E-01
 6.913521886E-01, -4.011273980E-01
 6.922190189E-01, -4.011393189E-01
 6.930850744E-01, -4.011512399E-01
 6.939505935E-01, -4.011631608E-01
 6.948158145E-01, -4.011750817E-01
 6.956813335E-01, -4.011989236E-01
 6.965474486E-01, -4.012227654E-01
 6.974145770E-01, -4.012585282E-01
 6.982832551E-01, -4.012942910E-01
 6.991535425E-01, -4.013300538E-01
 7.000254989E-01, -4.013777375E-01
 7.008991838E-01, -4.014135003E-01
 7.017741203E-01, -4.014611840E-01
 7.026505470E-01, -4.015207887E-01
 7.035278678E-01, -4.015565515E-01
 7.044059038E-01, -4.016042352E-01
 7.052846551E-01, -4.016638398E-01
 7.061639428E-01, -4.017115235E-01
 7.070435286E-01, -4.017592072E-01
 7.079234719E-01, -4.018068910E-01
 7.088037133E-01, -4.018426538E-01
 7.096842527E-01, -4.018903375E-01
 7.105658054E-01, -4.019499421E-01
 7.114484310E-01, -4.020095468E-01
 7.123321295E-01, -4.020691514E-01
 7.132170200E-01, -4.021168351E-01
 7.141031027E-01, -4.021645188E-01
 7.149909735E-01, -4.022360444E-01
 7.158810496E-01, -4.023194909E-01
 7.167731524E-01, -4.023790956E-01
 7.176673412E-01, -4.024387002E-01
 7.185637951E-01, -4.025102258E-01
 7.194626927E-01, -4.025936723E-01
 7.203642726E-01, -4.026771188E-01
 7.212685943E-01, -4.027724862E-01
 7.221754789E-01, -4.028559327E-01
 7.230848074E-01, -4.029393792E-01
 7.239966393E-01, -4.030347466E-01
 7.249109745E-01, -4.031301141E-01
 7.258276343E-01, -4.032135606E-01
 7.267465591E-01, -4.033089280E-01
 7.276678085E-01, -4.034042954E-01
 7.285913825E-01, -4.035115838E-01
 7.295172215E-01, -4.036069512E-01
 7.304453850E-01, -4.037142396E-01
 7.313758135E-01, -4.038096070E-01
 7.323082685E-01, -4.039049745E-01
 7.332428694E-01, -4.039884210E-01
 7.341796756E-01, -4.040718675E-01
 7.351190448E-01, -4.041910768E-01
 7.360612154E-01, -4.043102860E-01
 7.370058894E-01, -4.044056535E-01
 7.379530072E-01, -4.045010209E-01
 7.389026284E-01, -4.045963883E-01
 7.398548722E-01, -4.047036767E-01
 7.408100367E-01, -4.048228860E-01
 7.417680621E-01, -4.049301744E-01
 7.427288294E-01, -4.050374627E-01
 7.436922789E-01, -4.051447511E-01
 7.446584702E-01, -4.052520394E-01
 7.456274629E-01, -4.053712487E-01
 7.465993166E-01, -4.054904580E-01
 7.475739717E-01, -4.055977464E-01
 7.485512495E-01, -4.056931138E-01
 7.495313883E-01, -4.058123231E-01
 7.505143881E-01, -4.059434533E-01
 7.515002489E-01, -4.060507417E-01
 7.524887919E-01, -4.061699510E-01
 7.534800768E-01, -4.062772393E-01
 7.544740438E-01, -4.063845277E-01
 7.554708719E-01, -4.065156579E-01
 7.564706206E-01, -4.066467881E-01
 7.574731112E-01, -4.067659974E-01
 7.584781647E-01, -4.068613648E-01
 7.594859004E-01, -4.069805741E-01
 7.604963779E-01, -4.070997834E-01
 7.615096569E-01, -4.072309136E-01
 7.625257373E-01, -4.073501229E-01
 7.635446191E-01, -4.074812531E-01
 7.645660639E-01, -4.076004624E-01
 7.655901313E-01, -4.077196717E-01
 7.666167617E-01, -4.078388810E-01
 7.676460147E-01, -4.079580903E-01
 7.686778903E-01, -4.080772996E-01
 7.697122693E-01, -4.081965089E-01
 7.707492709E-01, -4.083157182E-01
 7.717889547E-01, -4.084587693E-01
 7.728313208E-01, -4.085898995E-01
 7.738761902E-01, -4.087210298E-01
 7.749235034E-01, -4.088402390E-01
 7.759732604E-01, -4.089713693E-01
 7.770254016E-01, -4.091024995E-01
 7.780798674E-01, -4.092336297E-01
 7.791367173E-01, -4.093647599E-01
 7.801958919E-01, -4.094958901E-01
 7.812573314E-01, -4.096389413E-01
 7.823210359E-01, -4.097700715E-01
 7.833869457E-01, -4.099012017E-01
 7.844550610E-01, -4.100442529E-01
 7.855252028E-01, -4.101753831E-01
 7.865974307E-01, -4.103184342E-01
 7.876716256E-01, -4.104376435E-01
 7.887478471E-01, -4.105806947E-01
 7.898259759E-01, -4.107118249E-01
 7.909059525E-01, -4.108429551E-01
 7.919877768E-01, -4.109740853E-01
 7.930713296E-01, -4.110932946E-01
 7.941566110E-01, -4.112125039E-01
 7.952436805E-01, -4.113436341E-01
 7.963325381E-01, -4.114747643E-01
 7.974230647E-01, -4.116058946E-01
 7.985152602E-01, -4.117251039E-01
 7.996091247E-01, -4.118562341E-01
 8.007046580E-01, -4.119873643E-01
 8.018017411E-01, -4.120946527E-01
 8.029003739E-01, -4.122377038E-01
 8.040005565E-01, -4.123569131E-01
 8.051022291E-01, -4.124880433E-01
 8.062053919E-01, -4.126191735E-01
 8.073099256E-01, -4.127145410E-01
 8.084158301E-01, -4.128456712E-01
 8.095231652E-01, -4.129887223E-01
 8.106318712E-01, -4.131079316E-01
 8.117417693E-01, -4.132390618E-01
 8.128529191E-01, -4.133463502E-01
 8.139652610E-01, -4.134536386E-01
 8.150786757E-01, -4.135609269E-01
 8.161932230E-01, -4.136443734E-01
 8.173089027E-01, -4.137397408E-01
 8.184257746E-01, -4.138589501E-01
